"ID";"CIR";"APT";"COMUNE_CODICE";"COMUNE";"DENOMINAZIONE";"TIPOLOGIA";"CATEGORIA";"INDIRIZZO";"FRAZIONE";"CAP";"PROV";"TELEFONO";"TELEFONO2";"FAX";"WEB";"EMAIL";"COORDX";"COORDY";"TOTALE_UNITA";"TOTALE_LETTI";"TOTALE_BAGNI"
4783;"055006A101004783";"1";"055006";"ATTIGLIANO";"HOTEL UMBRIA";"Albergo";"3 stelle";"Vocabolo Pantanicci,snc";" ";"05012";"TR";"0744994222";" ";"0744994340";"www.hotelumbria.it";"info@hotelumbria.it";12,2979882;42,5101984;62;135;62
4787;"055003B403004787";"1";"055003";"ALVIANO";"TALAMONI ILVIO";"Affittacamere";"Affittacamere";"Vocabolo Stazione,7";"ALVIANO SCALO";"05020";"TR";"0744904103";"0744904625";"0744904627";" ";"talamonisnc@lamiapec.it";12,260219;42,591173;6;12;6
4788;"055014B501004788";"1";"055014";"GIOVE";"VERDEALLOGGIO AGRITURISMO";"Agriturismo";"1 girasole";"Vocabolo Costa del Gallo,100";" ";"05024";"TR";"0744992147";" ";" ";"https://verdealloggio.wordpress.com/";"info@verdealloggio.it";12,322578;42,513632;2;8;2
4790;"055004A101004790";"1";"055004";"AMELIA";"ALBERGO AMERINO";"Albergo";"1 stella";"Via Amerina,54";" ";"05022";"TR";"0744989667";" ";"0744989667";"www.hotel-amerino.it";"petroli.innocenzi@gmail.com";12,4477325;42,5490071;10;10;10
4793;"055004B501004793";"1";"055004";"AMELIA";"AGRITURISMO OLIVETO";"Agriturismo";"1 girasole";"Via Scendone,8";" ";"05022";"TR";"0744981101";"3464157955";"0744981101";"www.agriturismooliveto.it";"info@agriturismooliveto.it";12,4338603;42,5449723;10;30;10
4794;"055003A101004794";"1";"055003";"ALVIANO";"HOTEL ALVIANO";"Albergo";"2 stelle";"Via della Stazione,21";"ALVIANO SCALO";"05020";"TR";"0744904625";" ";"0744904627";" ";"studio_talamoni@alice.it";12,2978194;42,5910916;23;42;21
4796;"055004B702004796";"1";"055004";"AMELIA";"CONVENTO SANTISSIMA ANNUNZIATA";"Casa religiosa di ospitalita";"Casa religiosa di ospitalita'";"Via Santissima Annunziata,7";" ";"05022";"TR";"0744970010";" ";"0744970010";" ";"roccodiannamaria@yahoo.it";12,386484;42,532303;27;50;0
4797;"055006A101004797";"1";"055006";"ATTIGLIANO";"HOTEL DA ROSANNA";"Albergo";"2 stelle";"Via Carlo Alberto Dalla Chiesa,3";" ";"05012";"TR";"0744994201";" ";"0744994201";"www.hotelrosanna.com";"info@hotelrosanna.com";12,2943557;42,5141664;11;21;11
4803;"055004B501004803";"1";"055004";"AMELIA";"PODERE AGRITURISTICO LUCHIANO";"Agriturismo";"5 girasoli";"Strada Luchiano,2";"PORCHIANO";"05022";"TR";"3400009001";"0744980233";" ";"www.luchiano.it";"francesca.forniz@libero.it";12,3767864;42,5544922;4;10;5
4806;"055004B501004806";"1";"055004";"AMELIA";"FATTORIA COLLEPINA";"Agriturismo";"1 girasole";"Localita' Collepina";"MACCHIE";"05022";"TR";"0744987166";"3356397121";" ";"www.collepina.com";"info@collepina.com";12,3845315;42,5882642;9;30;9
4807;"054001A101004807";"2";"054001";"ASSISI";"FONTEBELLA PALACE HOTEL";"Albergo";"4 stelle";"Via  Fontebella,25";" ";"06081";"PG";"075812883";"3358080342";"0758198440";"www.fontebella.com";"info@fontebella.com";12,6094604;43,0723326;46;78;46
4808;"054001A101004808";"2";"054001";"ASSISI";"HOTEL GIOTTO";"Albergo";"4 stelle";"Via  Fontebella,41";" ";"06081";"PG";"075812209";"3333900742";"075816479";"www.hotelgiottoassisi.it";"info@hotelgiottoassisi.it";12,6085180831859;43,0725794752857;77;151;79
4810;"054001A101004810";"2";"054001";"ASSISI";"HOTEL DEI PRIORI";"Albergo";"3 stelle";"Corso Mazzini,15";" ";"06081";"PG";"075812237";" ";"075816804";"www.hoteldeipriori.it";"info@hoteldeipriori.it";12,615834;43,070617;34;62;34
4812;"054001A101004812";"2";"054001";"ASSISI";"HOTEL IL CASTELLO";"Albergo";"3 stelle";"Viale  Marconi,1/B";" ";"06081";"PG";"075812384";" ";"075812567";"www.hotelcastelloassisi.it";"info@hotelcastelloassisi.it, info@albergoassisi.it";12,6071351;43,0728248;46;84;49
4814;"054001A101004814";"2";"054001";"ASSISI";"HOTEL SAN PIETRO";"Albergo";"3 stelle";"Piazza S. Pietro,5";" ";"06081";"PG";"075812452";" ";"0755093766";"www.hotel-sanpietro.it";"info@hotel-sanpietro.it";12,6080075;43,0722162;37;73;37
4815;"054001A101004815";"2";"054001";"ASSISI";"HOTEL UMBRA";"Albergo";"3 stelle";"Via degli Archi,6";" ";"06081";"PG";"075812240";" ";"075813653";"www.hotelumbra.it";"info@hotelumbra.it";12,614319;43,071102;24;52;24
4816;"054001A101004816";"2";"054001";"ASSISI";"HOTEL WINDSOR SAVOIA";"Albergo";"3 stelle";"Viale Marconi,1";" ";"06081";"PG";"075812210";"075812761";"075813659";"www.hotelwindsorsavoia.it";"contact@hotelwindsorsavoia.it";12,6072611;43,0726831;34;68;34
4817;"054001A101004817";"2";"054001";"ASSISI";"HOTEL ALEXANDER";"Albergo";"3 stelle";"Piazzetta  Chiesa  Nuova,6";" ";"06081";"PG";"075816190";"3284721893";"0758198525";"www.hotelalexanderassisi.it";"info@hotelalexanderassisi.it";12,61528;43,0706;7;19;7
4819;"054001A101004819";"2";"054001";"ASSISI";"HOTEL BELVEDERE";"Albergo";"2 stelle";"Via  Borgo  Aretino,13";" ";"06081";"PG";"075812460";" ";"075816812";"www.assisihotelbelvedere.com";"hotelbelvedereassisi@yahoo.it";12,618138;43,068259;12;24;12
4820;"054001A101004820";"2";"054001";"ASSISI";"HOTEL LA DIMORA";"Albergo";"2 stelle";"Piazza  S.Pietro,24";" ";"06081";"PG";"075813466";"3299377304";" ";"www.ladimoradiassisi.it";"accogestsrl@gmail.com";12,6084979;43,0718358;10;17;10
4821;"054001A101004821";"2";"054001";"ASSISI";"HOTEL COUNTRY HOUSE";"Albergo";"2 stelle";"Via di  Valecchie,41";" ";"06081";"PG";"075816363";" ";" ";"www.countryhousetreesse.com";"info@countryhousetreesse.com";12,6067087;43,066948;17;34;17
4822;"054001A101004822";"2";"054001";"ASSISI";"HOTEL DA ANGELO";"Albergo";"3 stelle";"Via San Potente,6";" ";"06081";"PG";"075812821";" ";"075812502";"www.hoteldaangelo.com";"info@hoteldaangelo.com";12,628281;43,05845;41;77;41
4824;"054001A101004824";"2";"054001";"ASSISI";"HOTEL PAX ASSISI";"Albergo";"3 stelle";"Via S. Antonio,14";" ";"06081";"PG";"075816297";"0758019654";"075813051";"www.hotelpaxassisi.com";"info@hotelpaxassisi.com";12,614636;43,070312;12;22;12
4828;"054001A101004828";"2";"054001";"ASSISI";"HOTEL IDEALE PER TURISTI";"Albergo";"3 stelle";"Piazza Matteotti,1";" ";"06081";"PG";"075813570";"3334520666";"0758197381";"www.hotelideale.it";"info@hotelideale.it";12,6185832986191;43,0697179472287;11;23;11
