"Vini DOCG/DOC/IGT";"descrizione";"normativa";"link disciplinare";"zona di produzione";"link cartografia zone produzione"
"DOCG TORGIANO ROSSO RISERVA";"Vino ricco e complesso, adatto ad un lungo invecchiamento. Uve Sangiovese dal 70% al 100%. Possono concorrere altri vitigni a bacca rossa idonei alla coltivazione per la Regione Umbria fino ad un massimo del 30%. Deve avere un invecchiamento minimo di tre anni, dei quali alemno 6 mesi in bottiglia, a partire dal 1º novembre dell'anno di raccolta delle uve. Il Torgiano Rosso Riserva è stato il primo vino in Umbria ad ottenere la DOCG, istituita con DPR del 20 ottobre 1990 (già riconosciuta a denominazione di origine controllata con DPR del 27 ottobre 1978.";"Disciplinare di produzione:      DPR 20.10.1990 ( G.U. 59 - 11.03.1991 )   e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOCG+Torgiano+Rosso+Riserva.pdf/b85608be-9364-45a5-9441-bcc5bfbac0b8";"territorio del Comune di Torgiano (PG)";"http://dati.umbria.it/dataset/zona-di-produzione-vini-doc-torgiano"
"DOCG MONTEFALCO SAGRANTINO";"Vino DOCG la cui produzione è consentita solo nei comuni di Montefalco per intero, e parte di quelli di Bevagna, Gualdo Cattaneo, Castel Ritaldi e Giano dell'Umbria in provincia di Perugia. E' prodotto esclusivamente con uve della varietà Sagrantino. Il disciplinare prevede la produzione di Sagrantino di Montefalco nelle tipologie 'secco' e 'passito'.";"Disciplinare di produzione:      DM 05.11.1992 (G.U. 269 - 14.11.1992) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOCG+Montefalco+Sagrantino.pdf/b7ebe388-bb95-4b34-a5e2-5db89e8d754a";"comprende i terreni vocati alla qualità dell'intero territorio del Comune di Montefalco e parte del territorio dei Comuni di Bevagna, Gualdo Cattaneo, Castel Ritaldi e Giano dell'Umbria ubicati nella provincia di Perugia.";"http://dati.umbria.it/dataset/zone-di-produzione-vini-doc-e-docg-montefalco"
"DOC MONTEFALCO";"E' un vino prodotto in due tipologie: Montefalco Bianco e Montefalco Rosso. Il Montefalco Bianco è ottenuto da uve Grechetto per una percentuale non inferiore al 50%, Trebbiano Toscano 20-35% con l'aggiunta di altri vitigni idonei alla coltivazione per la Regione Umbria a bacca bianca fino ad un massimo del 30%.Il Montefalco Rosso nasce dalle uve Sangiovese 60-70% e Sagrantino 10-15% con l'aggiunta di altri vitigni idonei alla coltivazione per la Regione Umbria  a bacca rossa fino ad un un massimo del 30%. È necessario un invecchiamento minimo di 18 mesi, che per il Rosso Riserva diventa di 30 mesi.";"Disciplinare di produzione: DPR 30/10/1979 (G.U. 108 del 19/4/1980)  e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Montefalco.pdf/3c26afd7-c8cb-454d-9698-67f6a95d4e6c";"La zona di produzione comprende l'intero territorio amministrativo del comune di Montefalco, Bevagna, Gualdo Cattaneo, Castel Ritaldi e Giano dell'Umbria siti in provincia di Perugia";"http://dati.umbria.it/dataset/zone-di-produzione-vini-doc-e-docg-montefalco"
"DOC ORVIETO e ORVIETO CLASSICO";"I vini Orvieto e Orvieto classico sono prodotti anche nelle tipologie secco, abboccato, amabile, dolce, superiore, vendemmia tardiva e muffa nobile.  I vini Orvieto e Orvieto classico sono ottenuti da uve Trebbiano Toscano (localmente detto anche Procanico) e Grechetto con una percentuale minima del 60%. Possono concorrere altri vitigni a bacca bianca idonei alla coltivazione per la Regione Umbria a bacca bianca fino ad un massimo del 40%.";"Disciplinare di produzione: DPR 7/8/1971 (G.U. 219 del 31/8/1971) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Orvieto.pdf/9e9b25c9-be9d-46b5-bfd8-57ecca2dfbac";"La zona di produzione comprende, tutto o in parte, il territorio di Orvieto, Allerona, Alviano, Baschi, Castel Viscardo, Ficulle, Guardea, Montecchio, Fabbro, Montegabbione, Monteleone d'Orvieto, Porano, in provincia di Terni; Bagnoreggio, Castiglione in Teverina, Civitella d'Agliano, Graffignano, Lubriano, in provincia di Viterbo, nel Lazio.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-orvieto                                          http://dati.umbria.it/dataset/doc-orvieto-classico"
"DOC ROSSO ORVIETANO";"La denominazione “Rosso Orvietano”o “Orvietano Rosso” è riservata ai vini ottenuti da uve dei seguenti vitigni:  Aleatico, Cabernet Franc, Cabernet Sauvignon, Canaiolo Rosso, Ciliegiolo, Merlot, Montepulciano, Pinot Nero e Sangiovese da soli o congiuntamente per almeno il 70%: possono concorrere altri vitigni a bacca rossa idonei alla coltivazione per la Regione Umbria fino ad un massimo del 30%. I vini 'Rosso Orvietano' o 'Orvietano Rosso' possono indicare in etichetta la specificazione del vitigno se ottentuti con almeno l'85% di detto vitigno.";"Disciplinare di produzione: DM  31/8/1998 (GU 208 del 7/9/1998) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Rosso+Orvietano+o+Orvietano+Rosso.pdf/49e09cf3-e8bc-49e6-90a7-1e648b64c1c2";"territorio di San Venanzo verso la valle del Tevere, in alcune  ristrette aree dell’Amerino e del Viterbese. Colore rosso rubino vivace intenso, talvolta con riflessi violacei, profumo vinoso intenso , talvolta erbaceo, sapore morbido, elegante e vellutato. Abbinamenti consigliati: abbina a piatti di carne saporiti arrosto, cacciaggione  e formaggi stagionati  e può essere consumato fino a 4 anni dalla vendemmia.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-rosso-orvietano"
"DOC TORGIANO";"La denominazione 'Torgiano' comprende oltre alle tipologie Bianco,  Rosso e Rosato, altri vini con l'indicazione del vitigno: Merlot, Chardonnay, Pinot Grigio, Riesling Italico, Cabernet Sauvignon, Pinot Nero e anche le tipologie Spumante, Vendemmia Tardiva e Vinsanto che rispondono alle condizioni ed ai requisiti stabiliti dal disciplinare di produzione. La tipologia Vinsanto deve avere un invecchiamento minimo di ameno 36 mesi.";"DPR 20/3/1968 (GU 132 del 25/5/1968 ) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Torgiano.pdf/6a7f3d9d-b904-4abf-9a18-ef8a5077bf85";"comune di Torgiano in provincia di Perugia.";"http://dati.umbria.it/dataset/zona-di-produzione-vini-doc-torgiano"
"DOC COLLI MARTANI";"La denominazione 'Colli Martani' comprende oltre alle tipologie Bianco e Rosso, altri vini con l'indicazione del vitigno: Trebbiano, Grechetto,  Grechetto di Todi, Sangiovese anche riserva, Cabernet sauvignon anche riserva, Merlot anche riserva, Sauvignon, Chardonnay, Riesling,  Vernaccia, Spumante che rispondono alle condizioni ed ai requisiti stabiliti dal disciplinare di produzione.";"Disciplinare di produzione: DPR 21/12/1988 ( GU 145 del 23/6/1989) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Colli+Martani.pdf/308e945c-0295-4d90-a6f6-89daaaf3a306";"zona  in provincia di Perugia e che comprende l'intero territorio dei comuni di Gualdo Cattaneo e Giano dell'Umbria e parte del territorio dei comuni di Todi, Massa Martana, Monte Castello Vibio, Montefalco, Castel Ritaldi, Spoleto, Bevagna, Cannara, Bettona, Deruta e Collazzone.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-colli-martani"
"DOC LAGO DI CORBARA";"La denominazione 'Lago di Corbara' prevede le seguenti tipologie di vini: Rosso, Rosso riserva, Cabernet sauvignon, Cabernet sauvignon riserva, Merlot, Merlot riserva, Pinot nero, Pinot nero riserva, Sangiovese, Sangiovese riserva, Bianco, Bianco riserva, Grechetto, Grechetto riserva, Vermentino, Vermentino riserva, Chardonnay, Chardonnay riserva, Sauvignon, Sauvignon riserva, Vendemmia Tardiva, Passito e Passito riserva che rispondono alle condizioni ed ai requisiti stabiliti dal disciplinare di produzione.";"Disciplinare di produzione: DM 1/7/1988 (GU 167 20/7/1998) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Lago+di+Corbara.pdf/15193f54-6058-46a4-a127-039dcb72c63c";"territorio attorno al corso del Tevere tra Orvieto, Baschi e Montecchio";"http://dati.umbria.it/dataset/zona-di-produzione-vini-doc-lago-di-corbara"
"DOC AMELIA";"La denominazione “Amelia” e' riservata ai vini Bianco, Rosso, Rosso Riserva, Grechetto, Ciliegiolo, Ciliegiolo Riserva, Rosato, Novello, Malvasia, Merlot e Merlot Riserva, Sangiovese, Sangiovese Riserva, Vin Santo e Vin Santo Occhio di Pernice che rispondono alle condizioni ed ai requisiti stabiliti dal disciplinare di produzione.";"Disciplinare di produzione: DPR 25/11/1989 (GU 135 del 12/6/1990) e s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Amelia.pdf/466653f0-58f7-4705-a850-e938eba41d4d";"La zona geografica delimitata ricade nella parte sud occidentale della Regione Umbria in Provincia di Terni e comprende un areale di coltivazione che si articola su terreni pleistocenici/quaternari";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-amelia"
"DOC COLLI DEL TRASIMENO";"La denominazione 'Colli del Trasimeno' o 'Trasimeno' prevede la tipologia Bianco anche nelle tipologie Scelto, Frizzante e Vinsanto e Rosso anche nelle tipologie Scelto, Rosso Riserva, Frizzante e Novello. Le altre tipologie previste dal disciplinare sono lo Spumante Classico bianco e rosé, oltre ai seguenti vini monovitigno: Grechetto, Merlot, Cabernet Sauvignon, Gamay, Merlot Riserva, Cabernet Sauvignon Riserva e Gamay Riserva.";"Disciplinare di produzione: DPR 13/1/1972 (GU 84  del 29/3/1972) e  s.m.i.";"http://www.regione.umbria.it/documents/18/1934957/DOC+Colli+del+Trasimeno+o+Trasimeno.pdf/e7bb3334-a7d3-4d50-805f-73b96f76bb2d";"La zona di produzione della D.O.C. 'Colli del Trasimeno' o 'Trasimeno' comprende per intero i Comuni di Castiglione del Lago, Magione, Paciano, Panicale, Passignano sul Trasimeno e Tuoro sul Trasimeno.  Comprende inoltre parte dei Comuni di Città della Pieve, Corciano, Perugia e Piegaro.";"http://dati.umbria.it/dataset/zona-di-produzione-vino-doc-colli-del-trasimeno"
